codigo_entidad,hipoteca_uva,hipoteca_tea_max,hipoteca_monto_max,hipoteca_plazo_max,hipoteca_n_productos,ofrece_hipoteca,personal_tea_max,personal_monto_max,personal_plazo_max,personal_n_productos,ofrece_personal,prendario_tea_max,prendario_monto_max,prendario_n_productos,ofrece_prendario,pfijo_uva,pfijo_tea_min,pfijo_monto_min,pfijo_n_productos,ofrece_pfijo,paquete_tiene_premium,paquete_comision_min,paquete_comision_max,paquete_n_productos,ofrece_paquete,tarjeta_tea_financiacion,tarjeta_tea_adelanto,tarjeta_tiene_premium,tarjeta_comision_admin_min,tarjeta_n_productos,ofrece_tarjeta,caja_apertura_simplificada,n_productos_ofrecidos
00007,1,12.0,999999999.0,240.0,1.0,1,30.0,24800000.0,72.0,2.0,1,34.0,57000000.0,18.0,1,1,26.83,100.0,12.0,1,1,27000.0,70000.0,56.0,1,133.44,133.44,1,18500.0,12.0,1,1,6
00011,1,6.17,521192700.0,360.0,24.0,1,45.37,100000000.0,72.0,5.0,1,,,,0,1,25.66,100.0,10.0,1,1,9427.0,75038.0,12.0,1,103.18,103.18,0,8801.54,1.0,1,1,5
00014,0,37.22,345689450.0,240.0,60.0,1,77.88,50000000.0,60.0,22.0,1,,,,0,1,24.48,100.0,20.0,1,1,24700.0,85000.0,72.0,1,40.42,40.42,1,0.0,11.0,1,1,5
00015,1,9.27,300000000.0,240.0,2.0,1,147.19,145000000.0,96.0,8.0,1,67.97,130000000.0,7.0,1,1,23.89,1000.0,6.0,1,1,26000.0,76000.0,3.0,1,120.78,120.78,0,0.0,8.0,1,1,6
00017,1,7.76,999999999.0,360.0,13.0,1,249.85,70000000.0,72.0,7.0,1,28.0,55000000.0,4.0,1,1,22.54,1000.0,12.0,1,1,22900.0,78900.0,49.0,1,106.41,106.41,1,28900.0,8.0,1,1,6
00020,1,8.9,468092500.0,240.0,12.0,1,114.99,138720000.0,72.0,7.0,1,,,,0,1,25.37,100.0,17.0,1,0,14000.0,14000.0,3.0,1,369.88,369.88,1,4345.99,18.0,1,1,5
00027,1,18.39,99999999.0,180.0,54.0,1,176.31,75000000.0,72.0,48.0,1,49.65,85250000.0,16.0,1,1,23.6,100.0,20.0,1,1,0.0,83400.0,52.0,1,142.75,142.75,1,10800.0,11.0,1,1,6
00029,1,10.36,300000000.0,240.0,68.0,1,127.33,40000000.0,72.0,12.0,1,63.21,28000000.0,2.0,1,1,20.75,100.0,24.0,1,0,26734.0,26734.0,42.0,1,125.3,125.3,0,6458.0,6.0,1,1,6
00034,1,13.24,140000000.0,360.0,3.0,1,129.55,30000000.0,60.0,2.0,1,,,,0,1,20.75,500.0,32.0,1,0,21250.0,21250.0,5.0,1,126.1,126.1,0,10436.25,1.0,1,1,5
00044,1,13.24,250000000.0,180.0,6.0,1,16.08,100000000.0,72.0,5.0,1,,,,0,1,24.98,100.0,18.0,1,1,0.0,1787.17,12.0,1,172.36,172.36,1,10103.6,7.0,1,0,5
00045,1,12.68,335970000.0,240.0,3.0,1,158.06,50000000.0,72.0,1.0,1,20.75,50000000.0,4.0,1,1,23.75,5000.0,6.0,1,0,33113.0,33113.0,1.0,1,108.9,108.9,0,10350.0,1.0,1,1,6
00065,1,4.28,100000000.0,240.0,5.0,1,117.01,50000000.0,60.0,5.0,1,,,,0,0,28.08,1000.0,2.0,1,0,,,,0,123.2,123.2,0,14375.0,1.0,1,1,4
00072,1,9.92,999999999.0,240.0,2.0,1,127.33,50000000.0,72.0,7.0,1,61.65,57000000.0,24.0,1,1,19.92,500.0,45.0,1,1,11900.0,76777.0,61.0,1,123.41,123.41,1,7234.0,12.0,1,0,6
00083,0,10.47,180000000.0,180.0,1.0,1,118.0,40000000.0,60.0,6.0,1,55.55,0.0,4.0,1,1,28.08,1000.0,18.0,1,0,,,,0,111.01,111.01,0,2797.52,3.0,1,1,5
00086,1,14.36,335970000.0,240.0,1.0,1,154.37,50000000.0,72.0,1.0,1,29.03,50000000.0,4.0,1,1,23.15,5000.0,4.0,1,0,19781.0,19781.0,1.0,1,111.08,111.08,0,9000.0,1.0,1,1,6
